"","logFC.populationSTDI","logFC.populationSTGL2","logFC.populationSTGL3","logFC.populationSTIN","logFC.populationSTPO1","logFC.populationSTTO.BH","logCPM","LR","PValue","FDR"
"Sdiv_ptg000022l_0519-R",-0.410285846922606,-0.644007094862931,-0.938153189602463,-0.874303145221503,-8.92163009900051,-0.217993083312656,6.21813645879152,582.67484131198,1.27206629278294e-122,5.16535238847439e-120
"Sdiv_ptg000008l_0212-R",0.716117039624433,-0.0687647225983524,0.534658132378077,0.632863477571614,-5.58568786199337,0.511408679228822,7.05712684301549,581.82168762082,1.94312779869868e-122,7.81214330633255e-120
"Sdiv_ptg000005l_0061-R",0.39905487300596,-4.59011920080358,-5.60548267906053,-5.82863425628501,-0.284189551116847,0.168320254517416,5.04431740382574,579.338037433634,6.66985244842706e-122,2.65525518157676e-119
"Sdiv_ptg000008l_0991-R",0.309524171011654,2.95654970213455,1.05589141958292,2.35314204562799,-6.75584534069353,1.01821989693989,5.56190730769849,577.884419163292,1.37274809161475e-121,5.41182611729207e-119
"Sdiv_ptg000001l_0512-R",0.173606238566772,-4.82781090217785,-10.2884355541321,-10.2884355541321,0.0581188012387393,-0.13506205252025,3.99469315122272,576.718499907382,2.44916965892985e-121,9.56259453562554e-119
"Sdiv_ptg000003l_0423-R",2.99871672266187,-0.643855507624184,-3.12829894501843,-2.49161662258626,2.27600990416928,2.41833744246164,5.62141105213842,575.861293666322,3.74861929126306e-121,1.44968033277169e-118
"Sdiv_ptg000015l_0030-R",-0.241327458737072,-0.248042643393748,-0.105620702204783,-0.0357432931133985,-5.88659516737139,-0.758587836742507,7.52850626284857,575.100655963866,5.46887066709609e-121,2.09499021045381e-118
"Sdiv_ptg000010l_2273-R",1.34148194552954,-4.75485732907235,-9.4875019163313,-9.4875019163313,-0.601256564865798,-0.306912175737154,3.68011498414526,573.612166000081,1.14518582001643e-120,4.34592667360626e-118
"Sdiv_ptg000003l_0447-R",0.299823391685963,-4.68347436026029,-5.93995151404613,-7.28191542378617,-5.48005311871909,-0.0603414738868969,5.1668510783181,573.194285693268,1.40924571140844e-120,5.29850290346768e-118
"Sdiv_ptg000003l_2135-R",1.23809055112804,-3.9356091136279,-4.7046059892421,-8.62416381411628,-5.8507516597678,1.11596208109933,4.74813536358586,572.086286603099,2.44292935135756e-120,9.10069626066284e-118
"Sdiv_ptg000008l_0356-R",-6.44319656861586,-0.448666338057937,0.174282357022493,0.174722190468342,0.758218931236166,-0.613655633867796,6.82487081524004,569.717127882984,7.9209138830813e-120,2.92396935578545e-117
